GO.ID	Term	Annotated	Significant	Expected	Rank in weight01Fisher	classicFisher	weight01Fisher	classicFisher_p	weight01Fisher_p	neglog_weight01
GO:0021762	substantia nigra development	44	2	0.16	21	0.01065	0.01065	0.01065	0.01065	1.9726503922252434
GO:0033209	tumor necrosis factor-mediated signaling...	109	3	0.39	22	0.00683	0.01178	0.00683	0.01178	1.9288547095489172
GO:0007020	microtubule nucleation	47	2	0.17	23	0.01209	0.01209	0.01209	0.01209	1.917573699139228
GO:0042149	cellular response to glucose starvation	49	2	0.17	24	0.01309	0.01309	0.01309	0.01309	1.8830603534492443
GO:0007266	Rho protein signal transduction	133	3	0.47	25	0.01175	0.01381	0.01175	0.01381	1.8598063214213687
GO:0022617	extracellular matrix disassembly	60	2	0.21	26	0.01922	0.01922	0.01922	0.01922	1.7162466166674735
GO:0051893	regulation of focal adhesion assembly	61	2	0.22	27	0.01983	0.01983	0.01983	0.01983	1.7026772857946972
GO:0000725	recombinational repair	193	4	0.69	28	0.00488	0.02028	0.00488	0.02028	1.6929320493387017
GO:0097049	motor neuron apoptotic process	20	2	0.07	29	0.00226	0.02078	0.00226	0.02078	1.6823544567788413
GO:0034728	nucleosome organization	122	2	0.43	30	0.06976	0.02090	0.06976	0.0209	1.679853713888946
GO:0043124	negative regulation of canonical NF-kapp...	65	2	0.23	31	0.02233	0.02233	0.02233	0.02233	1.651111276928562
GO:2001244	positive regulation of intrinsic apoptot...	65	2	0.23	32	0.02233	0.02233	0.02233	0.02233	1.651111276928562
GO:0022898	regulation of transmembrane transporter ...	152	5	0.54	33	0.00020	0.02314	2e-4	0.02314	1.6356366453842692
GO:0019885	antigen processing and presentation of e...	21	2	0.07	34	0.00249	0.02420	0.00249	0.0242	1.6161846340195687
GO:0051707	response to other organism	1532	13	5.44	35	0.00237	0.02464	0.00237	0.02464	1.6083592965076121
GO:0071260	cellular response to mechanical stimulus	71	2	0.25	36	0.02632	0.02632	0.02632	0.02632	1.5797141150580822
GO:0006303	double-strand break repair via nonhomolo...	72	2	0.26	37	0.02701	0.02701	0.02701	0.02701	1.5684754158125491
GO:0002524	hypersensitivity	18	2	0.06	38	0.00183	0.02760	0.00183	0.0276	1.5590909179347823
GO:0032481	positive regulation of type I interferon...	74	2	0.26	39	0.02842	0.02842	0.02842	0.02842	1.546375926408549
GO:0070527	platelet aggregation	74	2	0.26	40	0.02842	0.02842	0.02842	0.02842	1.546375926408549
GO:0071219	cellular response to molecule of bacteri...	223	4	0.79	41	0.00807	0.03031	0.00807	0.03031	1.5184140636323777
GO:0002507	tolerance induction	30	2	0.11	42	0.00506	0.03102	0.00506	0.03102	1.508358206522414
GO:0032205	negative regulation of telomere maintena...	39	2	0.14	43	0.00844	0.03104	0.00844	0.03104	1.5080782874138492
GO:0002478	antigen processing and presentation of e...	39	2	0.14	44	0.00844	0.03442	0.00844	0.03442	1.4631891340084586
GO:0002727	regulation of natural killer cell cytoki...	10	1	0.04	45	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:0002883	regulation of hypersensitivity	10	1	0.04	46	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:0003207	cardiac chamber formation	10	1	0.04	47	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:0006924	activation-induced cell death of T cells	10	1	0.04	48	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:0007250	activation of NF-kappaB-inducing kinase ...	10	1	0.04	49	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:0032819	positive regulation of natural killer ce...	10	1	0.04	50	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:0033034	positive regulation of myeloid cell apop...	10	1	0.04	51	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:0046174	polyol catabolic process	10	1	0.04	52	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:0052646	alditol phosphate metabolic process	10	1	0.04	53	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:0071374	cellular response to parathyroid hormone...	10	1	0.04	54	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:0110025	DNA strand resection involved in replica...	10	1	0.04	55	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:1901031	regulation of response to reactive oxyge...	10	1	0.04	56	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:2000109	regulation of macrophage apoptotic proce...	10	1	0.04	57	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:2000672	negative regulation of motor neuron apop...	10	1	0.04	58	0.03495	0.03495	0.03495	0.03495	1.4565528199182998
GO:0045666	positive regulation of neuron differenti...	83	2	0.29	59	0.03509	0.03509	0.03509	0.03509	1.4548166317845939
GO:0060306	regulation of membrane repolarization	38	2	0.13	60	0.00802	0.03780	0.00802	0.0378	1.4225082001627747
GO:0021795	cerebral cortex cell migration	47	2	0.17	61	0.01209	0.03782	0.01209	0.03782	1.4222784754909792
GO:0003139	secondary heart field specification	11	1	0.04	62	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:0035666	TRIF-dependent toll-like receptor signal...	11	1	0.04	63	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:0042693	muscle cell fate commitment	11	1	0.04	64	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:0051657	maintenance of organelle location	11	1	0.04	65	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:0060020	Bergmann glial cell differentiation	11	1	0.04	66	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:0071481	cellular response to X-ray	11	1	0.04	67	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:0090085	regulation of protein deubiquitination	11	1	0.04	68	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:0090394	negative regulation of excitatory postsy...	11	1	0.04	69	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:1903564	regulation of protein localization to ci...	11	1	0.04	70	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:1905209	positive regulation of cardiocyte differ...	11	1	0.04	71	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:2001054	negative regulation of mesenchymal cell ...	11	1	0.04	72	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:2001171	positive regulation of ATP biosynthetic ...	11	1	0.04	73	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:2001204	regulation of osteoclast development	11	1	0.04	74	0.03837	0.03837	0.03837	0.03837	1.4160082008016837
GO:0071222	cellular response to lipopolysaccharide	214	3	0.76	75	0.04042	0.04042	0.04042	0.04042	1.3934036908207148
GO:0003084	positive regulation of systemic arterial...	12	1	0.04	76	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:0007176	regulation of epidermal growth factor-ac...	12	1	0.04	77	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:0008611	ether lipid biosynthetic process	12	1	0.04	78	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:0034135	regulation of toll-like receptor 2 signa...	12	1	0.04	79	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:0034139	regulation of toll-like receptor 3 signa...	12	1	0.04	80	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:0036295	cellular response to increased oxygen le...	12	1	0.04	81	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:0071233	cellular response to L-leucine	12	1	0.04	82	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:0071236	cellular response to antibiotic	12	1	0.04	83	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:0097067	cellular response to thyroid hormone sti...	12	1	0.04	84	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:0140052	cellular response to oxidised low-densit...	12	1	0.04	85	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:1902563	regulation of neutrophil activation	12	1	0.04	86	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:1990253	cellular response to leucine starvation	12	1	0.04	87	0.04179	0.04179	0.04179	0.04179	1.378927628856374
GO:0033674	positive regulation of kinase activity	216	6	0.77	88	0.00011	0.04194	1.1e-4	0.04194	1.3773715738706749
GO:1901699	cellular response to nitrogen compound	659	6	2.34	89	0.02890	0.04289	0.0289	0.04289	1.3676439537609268
GO:0002486	antigen processing and presentation of e...	13	1	0.05	90	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0002664	regulation of T cell tolerance induction	13	1	0.05	91	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0002863	positive regulation of inflammatory resp...	13	1	0.05	92	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0010921	regulation of phosphatase activity	13	1	0.05	93	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0010992	ubiquitin recycling	13	1	0.05	94	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0018119	peptidyl-cysteine S-nitrosylation	13	1	0.05	95	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0032490	detection of molecule of bacterial origi...	13	1	0.05	96	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0051764	actin crosslink formation	13	1	0.05	97	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0051775	response to redox state	13	1	0.05	98	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0055012	ventricular cardiac muscle cell differen...	13	1	0.05	99	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0060019	radial glial cell differentiation	13	1	0.05	100	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0060075	regulation of resting membrane potential	13	1	0.05	101	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0070486	leukocyte aggregation	13	1	0.05	102	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0071472	cellular response to salt stress	13	1	0.05	103	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0090209	negative regulation of triglyceride meta...	13	1	0.05	104	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:1901533	negative regulation of hematopoietic pro...	13	1	0.05	105	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:1904753	negative regulation of vascular associat...	13	1	0.05	106	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:2001198	regulation of dendritic cell differentia...	13	1	0.05	107	0.04519	0.04519	0.04519	0.04519	1.3449576586687981
GO:0071346	cellular response to type II interferon	99	2	0.35	108	0.04826	0.04826	0.04826	0.04826	1.316412682427233
GO:0002467	germinal center formation	14	1	0.05	109	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:0002476	antigen processing and presentation of e...	14	1	0.05	110	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:0030007	intracellular potassium ion homeostasis	14	1	0.05	111	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:0032736	positive regulation of interleukin-13 pr...	14	1	0.05	112	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:0034333	adherens junction assembly	14	1	0.05	113	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:0045198	establishment of epithelial cell apical/...	14	1	0.05	114	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:0061430	bone trabecula morphogenesis	14	1	0.05	115	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:0070307	lens fiber cell development	14	1	0.05	116	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:0072160	nephron tubule epithelial cell different...	14	1	0.05	117	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:1901018	positive regulation of potassium ion tra...	14	1	0.05	118	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:1903358	regulation of Golgi organization	14	1	0.05	119	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:1904353	regulation of telomere capping	14	1	0.05	120	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:2001256	regulation of store-operated calcium ent...	14	1	0.05	121	0.04859	0.04859	0.04859	0.04859	1.3134531009369936
GO:0045621	positive regulation of lymphocyte differ...	133	3	0.47	122	0.01175	0.05060	0.01175	0.0506	1.295849483160201
GO:0050830	defense response to Gram-positive bacter...	102	2	0.36	123	0.05090	0.05090	0.0509	0.0509	1.2932822176632413
GO:0032760	positive regulation of tumor necrosis fa...	103	2	0.37	124	0.05179	0.05179	0.05179	0.05179	1.285754088982106
GO:0003188	heart valve formation	15	1	0.05	125	0.05197	0.05197	0.05197	0.05197	1.2842472831771405
GO:0016045	detection of bacterium	15	1	0.05	126	0.05197	0.05197	0.05197	0.05197	1.2842472831771405
GO:0030174	regulation of DNA-templated DNA replicat...	15	1	0.05	127	0.05197	0.05197	0.05197	0.05197	1.2842472831771405
GO:0033147	negative regulation of intracellular est...	15	1	0.05	128	0.05197	0.05197	0.05197	0.05197	1.2842472831771405
GO:0036151	phosphatidylcholine acyl-chain remodelin...	15	1	0.05	129	0.05197	0.05197	0.05197	0.05197	1.2842472831771405
GO:0045176	apical protein localization	15	1	0.05	130	0.05197	0.05197	0.05197	0.05197	1.2842472831771405
GO:0090656	t-circle formation	15	1	0.05	131	0.05197	0.05197	0.05197	0.05197	1.2842472831771405
GO:2001028	positive regulation of endothelial cell ...	15	1	0.05	132	0.05197	0.05197	0.05197	0.05197	1.2842472831771405
GO:0001909	leukocyte mediated cytotoxicity	147	2	0.52	133	0.09597	0.05484	0.09597	0.05484	1.260902553882525
GO:0032933	SREBP signaling pathway	16	1	0.06	134	0.05534	0.05534	0.05534	0.05534	1.256960845195067
GO:0048643	positive regulation of skeletal muscle t...	16	1	0.06	135	0.05534	0.05534	0.05534	0.05534	1.256960845195067
GO:0061098	positive regulation of protein tyrosine ...	16	1	0.06	136	0.05534	0.05534	0.05534	0.05534	1.256960845195067
GO:0099159	regulation of modification of postsynapt...	16	1	0.06	137	0.05534	0.05534	0.05534	0.05534	1.256960845195067
GO:1990166	protein localization to site of double-s...	16	1	0.06	138	0.05534	0.05534	0.05534	0.05534	1.256960845195067
GO:2000345	regulation of hepatocyte proliferation	16	1	0.06	139	0.05534	0.05534	0.05534	0.05534	1.256960845195067
GO:2000725	regulation of cardiac muscle cell differ...	16	1	0.06	140	0.05534	0.05534	0.05534	0.05534	1.256960845195067
GO:0042742	defense response to bacterium	285	4	1.01	141	0.01843	0.05578	0.01843	0.05578	1.253521490069969
GO:1901381	positive regulation of potassium ion tra...	31	2	0.11	142	0.00539	0.05777	0.00539	0.05777	1.2382976324585873
GO:0003179	heart valve morphogenesis	59	2	0.21	143	0.01862	0.05787	0.01862	0.05787	1.237546517636453
GO:0010958	regulation of amino acid import across p...	17	1	0.06	144	0.05869	0.05869	0.05869	0.05869	1.2314358904864267
GO:0051443	positive regulation of ubiquitin-protein...	17	1	0.06	145	0.05869	0.05869	0.05869	0.05869	1.2314358904864267
GO:0055119	relaxation of cardiac muscle	17	1	0.06	146	0.05869	0.05869	0.05869	0.05869	1.2314358904864267
GO:0061154	endothelial tube morphogenesis	17	1	0.06	147	0.05869	0.05869	0.05869	0.05869	1.2314358904864267
GO:0071243	cellular response to arsenic-containing ...	17	1	0.06	148	0.05869	0.05869	0.05869	0.05869	1.2314358904864267
GO:0098885	modification of postsynaptic actin cytos...	17	1	0.06	149	0.05869	0.05869	0.05869	0.05869	1.2314358904864267
GO:1901163	regulation of trophoblast cell migration	17	1	0.06	150	0.05869	0.05869	0.05869	0.05869	1.2314358904864267
GO:1902036	regulation of hematopoietic stem cell di...	17	1	0.06	151	0.05869	0.05869	0.05869	0.05869	1.2314358904864267
GO:0031349	positive regulation of defense response	504	7	1.79	152	0.00197	0.06063	0.00197	0.06063	1.2173124317650335
GO:0044818	mitotic G2/M transition checkpoint	55	2	0.2	153	0.01631	0.06115	0.01631	0.06115	1.2136035386276958
GO:0006123	mitochondrial electron transport, cytoch...	18	1	0.06	154	0.06204	0.06204	0.06204	0.06204	1.2073282108584327
GO:0014819	regulation of skeletal muscle contractio...	18	1	0.06	155	0.06204	0.06204	0.06204	0.06204	1.2073282108584327
GO:0035973	aggrephagy	18	1	0.06	156	0.06204	0.06204	0.06204	0.06204	1.2073282108584327
GO:0043923	positive regulation by host of viral tra...	18	1	0.06	157	0.06204	0.06204	0.06204	0.06204	1.2073282108584327
GO:0048520	positive regulation of behavior	18	1	0.06	158	0.06204	0.06204	0.06204	0.06204	1.2073282108584327
GO:0055093	response to hyperoxia	18	1	0.06	159	0.06204	0.06204	0.06204	0.06204	1.2073282108584327
GO:0090493	catecholamine uptake	18	1	0.06	160	0.06204	0.06204	0.06204	0.06204	1.2073282108584327
GO:0098712	L-glutamate import across plasma membran...	18	1	0.06	161	0.06204	0.06204	0.06204	0.06204	1.2073282108584327
GO:1903427	negative regulation of reactive oxygen s...	18	1	0.06	162	0.06204	0.06204	0.06204	0.06204	1.2073282108584327
GO:1904294	positive regulation of ERAD pathway	18	1	0.06	163	0.06204	0.06204	0.06204	0.06204	1.2073282108584327
GO:0000723	telomere maintenance	161	3	0.57	164	0.01953	0.06375	0.01953	0.06375	1.1955198108940073
GO:0002755	MyD88-dependent toll-like receptor signa...	19	1	0.07	165	0.06537	0.06537	0.06537	0.06537	1.184621515034082
GO:0006071	glycerol metabolic process	19	1	0.07	166	0.06537	0.06537	0.06537	0.06537	1.184621515034082
GO:0006337	nucleosome disassembly	19	1	0.07	167	0.06537	0.06537	0.06537	0.06537	1.184621515034082
GO:0031954	positive regulation of protein autophosp...	19	1	0.07	168	0.06537	0.06537	0.06537	0.06537	1.184621515034082
GO:0043171	peptide catabolic process	19	1	0.07	169	0.06537	0.06537	0.06537	0.06537	1.184621515034082
GO:0060193	positive regulation of lipase activity	19	1	0.07	170	0.06537	0.06537	0.06537	0.06537	1.184621515034082
GO:0071474	cellular hyperosmotic response	19	1	0.07	171	0.06537	0.06537	0.06537	0.06537	1.184621515034082
GO:1901020	negative regulation of calcium ion trans...	19	1	0.07	172	0.06537	0.06537	0.06537	0.06537	1.184621515034082
GO:1903376	regulation of oxidative stress-induced n...	19	1	0.07	173	0.06537	0.06537	0.06537	0.06537	1.184621515034082
GO:1902806	regulation of cell cycle G1/S phase tran...	177	3	0.63	174	0.02498	0.06705	0.02498	0.06705	1.1736012178123822
GO:1902175	regulation of oxidative stress-induced i...	39	2	0.14	175	0.00844	0.06764	0.00844	0.06764	1.1697964010742958
GO:0097192	extrinsic apoptotic signaling pathway in...	65	2	0.23	176	0.02233	0.06774	0.02233	0.06774	1.1691548076913885
GO:0002218	activation of innate immune response	309	5	1.1	177	0.00474	0.06843	0.00474	0.06843	1.164753460003689
GO:0002544	chronic inflammatory response	20	1	0.07	178	0.06869	0.06869	0.06869	0.06869	1.1631064836235663
GO:0008334	histone mRNA metabolic process	20	1	0.07	179	0.06869	0.06869	0.06869	0.06869	1.1631064836235663
GO:0010737	protein kinase A signaling	20	1	0.07	180	0.06869	0.06869	0.06869	0.06869	1.1631064836235663
GO:0038203	TORC2 signaling	20	1	0.07	181	0.06869	0.06869	0.06869	0.06869	1.1631064836235663
GO:0071498	cellular response to fluid shear stress	20	1	0.07	182	0.06869	0.06869	0.06869	0.06869	1.1631064836235663
GO:2000273	positive regulation of signaling recepto...	20	1	0.07	183	0.06869	0.06869	0.06869	0.06869	1.1631064836235663
GO:2001185	regulation of CD8-positive, alpha-beta T...	20	1	0.07	184	0.06869	0.06869	0.06869	0.06869	1.1631064836235663
GO:0033144	negative regulation of intracellular ste...	36	2	0.13	185	0.00722	0.07089	0.00722	0.07089	1.1494150236479685
GO:0019432	triglyceride biosynthetic process	43	2	0.15	186	0.01019	0.07092	0.01019	0.07092	1.1492312730711198
GO:0002523	leukocyte migration involved in inflamma...	21	1	0.07	187	0.07200	0.07200	0.072	0.072	1.1426675035687315
GO:0002888	positive regulation of myeloid leukocyte...	21	1	0.07	188	0.07200	0.07200	0.072	0.072	1.1426675035687315
GO:0015693	magnesium ion transport	21	1	0.07	189	0.07200	0.07200	0.072	0.072	1.1426675035687315
GO:0032495	response to muramyl dipeptide	21	1	0.07	190	0.07200	0.07200	0.072	0.072	1.1426675035687315
GO:0086012	membrane depolarization during cardiac m...	21	1	0.07	191	0.07200	0.07200	0.072	0.072	1.1426675035687315
GO:0090051	negative regulation of cell migration in...	21	1	0.07	192	0.07200	0.07200	0.072	0.072	1.1426675035687315
GO:2001014	regulation of skeletal muscle cell diffe...	21	1	0.07	193	0.07200	0.07200	0.072	0.072	1.1426675035687315
GO:0002224	toll-like receptor signaling pathway	78	3	0.28	194	0.00268	0.07308	0.00268	0.07308	1.1362014613194997
GO:1903322	positive regulation of protein modificat...	125	3	0.44	195	0.00994	0.07328	0.00994	0.07328	1.135014539340206
GO:0000729	DNA double-strand break processing	22	1	0.08	196	0.07530	0.07530	0.0753	0.0753	1.1232050237992994
GO:0002082	regulation of oxidative phosphorylation	22	1	0.08	197	0.07530	0.07530	0.0753	0.0753	1.1232050237992994
GO:0010866	regulation of triglyceride biosynthetic ...	22	1	0.08	198	0.07530	0.07530	0.0753	0.0753	1.1232050237992994
GO:0015874	norepinephrine transport	22	1	0.08	199	0.07530	0.07530	0.0753	0.0753	1.1232050237992994
GO:0032211	negative regulation of telomere maintena...	22	1	0.08	200	0.07530	0.07530	0.0753	0.0753	1.1232050237992994
