Method	Ontology	ID	Description	pvalue	p.adjust	qvalue	Count	GeneRatio	BgRatio
GO_MF_All	Gene Ontology Molecular Function	GO:0019207	kinase regulator activity	1.7987481482698874e-4	0.018122387593819116	0.01590472046891269	8	8/102	287/18639
GO_BP_All	Gene Ontology Biological Process	GO:0010562	positive regulation of phosphorus metabolic process	1.79073981200107e-5	0.018605786646691116	0.016220332718178115	12	12/104	493/18805
GO_BP_All	Gene Ontology Biological Process	GO:0045937	positive regulation of phosphate metabolic process	1.79073981200107e-5	0.018605786646691116	0.016220332718178115	12	12/104	493/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0009150	purine ribonucleotide metabolic process	2.5277083526929625e-4	0.023702126784097857	0.018031668491680166	6	6/48	350/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0009259	ribonucleotide metabolic process	3.452449863323261e-4	0.026344267745057583	0.02004170794300396	6	6/48	371/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0071481	cellular response to X-ray	3.457820212640864e-4	0.026344267745057583	0.02004170794300396	2	2/48	11/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:2001171	positive regulation of ATP biosynthetic process	3.457820212640864e-4	0.026344267745057583	0.02004170794300396	2	2/48	11/18805
GO_BP_All	Gene Ontology Biological Process	GO:0001782	B cell homeostasis	4.5378849871901415e-5	0.026454612091752046	0.023062857712327276	4	4/104	36/18805
GO_BP_All	Gene Ontology Biological Process	GO:0051338	regulation of transferase activity	5.092321865592309e-5	0.026454612091752046	0.023062857712327276	11	11/104	463/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0019693	ribose phosphate metabolic process	3.867472867508945e-4	0.02773205544407885	0.021097483568268616	6	6/48	379/18805
GO_BP_All	Gene Ontology Biological Process	GO:0043549	regulation of kinase activity	7.020641029273841e-5	0.029177784117662083	0.025436890971326905	10	10/104	397/18805
GO_CC_All	Gene Ontology Cellular Component	GO:0099522	cytosolic region	0.001059143092845852	0.029550092290399267	0.02441603550876227	3	3/108	37/19880
GO_CC_All	Gene Ontology Cellular Component	GO:0045335	phagocytic vesicle	0.0011757453163881435	0.029821176661117457	0.02464002146306253	5	5/108	145/19880
GO_BP_All	Gene Ontology Biological Process	GO:0002260	lymphocyte homeostasis	8.621031760745656e-5	0.02985750666471579	0.026029466070602237	5	5/104	81/18805
GO_CC_All	Gene Ontology Cellular Component	GO:0070069	cytochrome complex	0.001430378859829	0.03201463744553493	0.026452388608082064	3	3/108	41/19880
GO_CC_All	Gene Ontology Cellular Component	GO:1990204	oxidoreductase complex	0.0014917214580356779	0.03201463744553493	0.026452388608082064	5	5/108	153/19880
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0000054	ribosomal subunit export from nucleus	5.693219821728816e-4	0.032727867363445635	0.024898105562968446	2	2/48	14/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0030810	positive regulation of nucleotide biosynthetic process	5.693219821728816e-4	0.032727867363445635	0.024898105562968446	2	2/48	14/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0033750	ribosome localization	5.693219821728816e-4	0.032727867363445635	0.024898105562968446	2	2/48	14/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:1900373	positive regulation of purine nucleotide biosynthetic process	5.693219821728816e-4	0.032727867363445635	0.024898105562968446	2	2/48	14/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0006119	oxidative phosphorylation	5.906588039342116e-4	0.032727867363445635	0.024898105562968446	4	4/48	151/18805
GO_BP_All	Gene Ontology Biological Process	GO:0021762	substantia nigra development	1.2049126133117405e-4	0.03576869157802567	0.03118277605277452	4	4/104	46/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0140694	membraneless organelle assembly	7.246266923322549e-4	0.03840521469360951	0.029217213544380626	6	6/48	427/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0010958	regulation of amino acid import across plasma membrane	8.46707421862367e-4	0.039974631091826834	0.03041116531401878	2	2/48	17/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:1903789	regulation of amino acid transmembrane transport	8.46707421862367e-4	0.039974631091826834	0.03041116531401878	2	2/48	17/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0006089	lactate metabolic process	9.50996145744855e-4	0.039974631091826834	0.03041116531401878	2	2/48	18/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0098712	L-glutamate import across plasma membrane	9.50996145744855e-4	0.039974631091826834	0.03041116531401878	2	2/48	18/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0098974	postsynaptic actin cytoskeleton organization	9.50996145744855e-4	0.039974631091826834	0.03041116531401878	2	2/48	18/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:2001169	regulation of ATP biosynthetic process	9.50996145744855e-4	0.039974631091826834	0.03041116531401878	2	2/48	18/18805
GO_MF_All	Gene Ontology Molecular Function	GO:0045296	cadherin binding	4.973461618645481e-4	0.040086100646282576	0.03518069692347119	8	8/102	334/18639
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0048488	synaptic vesicle endocytosis	9.999709411236913e-4	0.04063215257432599	0.030911382425613056	3	3/48	77/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0022898	regulation of transmembrane transporter activity	0.0010465052775915275	0.041151288173679745	0.03130632086784842	4	4/48	176/18805
GO_BP_All	Gene Ontology Biological Process	GO:0030901	midbrain development	1.6594244782536864e-4	0.0431035508226395	0.03757723061940256	5	5/104	93/18805
GO_BP_All	Gene Ontology Biological Process	GO:0042113	B cell activation	1.9384317082808399e-4	0.04475623433119539	0.03901802304036638	8	8/104	287/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0098761	cellular response to interleukin-7	0.001177137012992137	0.04484156308866922	0.034113740409410294	2	2/48	20/18805
GO_MF_All	Gene Ontology Molecular Function	GO:0043539	protein serine/threonine kinase activator activity	6.887359793107743e-4	0.04626009994370701	0.0405991735172667	4	4/102	73/18639
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0034762	regulation of transmembrane transport	0.0012979776108598547	0.04637605489725858	0.03528112289148553	6	6/48	478/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0098760	response to interleukin-7	0.001298930547257263	0.04637605489725858	0.03528112289148553	2	2/48	21/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0006091	generation of precursor metabolites and energy	0.0013833885008345203	0.04637605489725858	0.03528112289148553	6	6/48	484/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0019885	antigen processing and presentation of endogenous peptide antigen via MHC class I	0.0014265005859770707	0.04637605489725858	0.03528112289148553	2	2/48	22/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:1900242	regulation of synaptic vesicle endocytosis	0.0014265005859770707	0.04637605489725858	0.03528112289148553	2	2/48	22/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0036465	synaptic vesicle recycling	0.0015195332202628702	0.04637605489725858	0.03528112289148553	3	3/48	89/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0030808	regulation of nucleotide biosynthetic process	0.0015598180892433158	0.04637605489725858	0.03528112289148553	2	2/48	23/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0099188	postsynaptic cytoskeleton organization	0.0015598180892433158	0.04637605489725858	0.03528112289148553	2	2/48	23/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:1900371	regulation of purine nucleotide biosynthetic process	0.0015598180892433158	0.04637605489725858	0.03528112289148553	2	2/48	23/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0002483	antigen processing and presentation of endogenous peptide antigen	0.001698854122407364	0.04707665023407592	0.035814108938492205	2	2/48	24/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0009060	aerobic respiration	0.001706616266352671	0.04707665023407592	0.035814108938492205	4	4/48	201/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0019646	aerobic electron transport chain	0.0017239764829505319	0.04707665023407592	0.035814108938492205	3	3/48	93/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0032409	regulation of transporter activity	0.0017378582941209324	0.04707665023407592	0.035814108938492205	4	4/48	202/18805
GO_CC_All	Gene Ontology Cellular Component	GO:0098686	hippocampal mossy fiber to CA3 synapse	0.0023956197395519924	0.04774127909535756	0.039446670899389955	3	3/108	49/19880
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0046039	GTP metabolic process	0.0018435798557499914	0.047815400939558286	0.036376122125772514	2	2/48	25/18805
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0150105	protein localization to cell-cell junction	0.0018435798557499914	0.047815400939558286	0.036376122125772514	2	2/48	25/18805
GO_MF_All	Gene Ontology Molecular Function	GO:0005522	profilin binding	0.0012968196053453223	0.04895986874049072	0.04296856705447273	2	2/102	10/18639
GO_MF_All	Gene Ontology Molecular Function	GO:0030957	Tat protein binding	0.0012968196053453223	0.04895986874049072	0.04296856705447273	2	2/102	10/18639
GO_MF_All	Gene Ontology Molecular Function	GO:0050815	phosphoserine residue binding	0.0012968196053453223	0.04895986874049072	0.04296856705447273	2	2/102	10/18639
GO_MF_All	Gene Ontology Molecular Function	GO:0071723	lipopeptide binding	0.0012968196053453223	0.04895986874049072	0.04296856705447273	2	2/102	10/18639
GO_MF_All	Gene Ontology Molecular Function	GO:0140297	DNA-binding transcription factor binding	0.0014276212765771457	0.04895986874049072	0.04296856705447273	9	9/102	488/18639
GO_MF_All	Gene Ontology Molecular Function	GO:0042287	MHC protein binding	0.001458393354014144	0.04895986874049072	0.04296856705447273	3	3/102	41/18639
GO_MF_All	Gene Ontology Molecular Function	GO:0098973	structural constituent of postsynaptic actin cytoskeleton	0.0015793506045319588	0.04895986874049072	0.04296856705447273	2	2/102	11/18639
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:2001257	regulation of cation channel activity	0.001944857061378089	0.04939126578791438	0.03757497962881791	3	3/48	97/18805
GO_CC_All	Gene Ontology Cellular Component	GO:0005811	lipid droplet	0.002675583146387791	0.049765846522812913	0.04111948835501236	4	4/108	106/19880
GO_BP_Down	Gene Ontology Biological Process (Down)	GO:0071346	cellular response to type II interferon	0.0020026995894701456	0.04982226121559403	0.037902864410809846	3	3/48	98/18805
